dt,px rmb
2017/1/3,7200.0
2017/1/4,7200.0
2017/1/5,7200.0
2017/1/6,7200.0
2017/1/9,7200.0
2017/1/10,7200.0
2017/1/11,7200.0
2017/1/12,7200.0
2017/1/13,7200.0
2017/1/16,7200.0
2017/1/17,7200.0
2017/1/18,7200.0
2017/1/19,7200.0
2017/1/20,7200.0
2017/1/23,7200.0
2017/1/24,7200.0
2017/1/25,7200.0
2017/1/26,7200.0
2017/1/27,7200.0
2017/1/30,7200.0
2017/1/31,7200.0
2017/2/1,7200.0
2017/2/2,7200.0
2017/2/3,7200.0
2017/2/6,7200.0
2017/2/7,7600.0
2017/2/8,7600.0
2017/2/9,7600.0
2017/2/10,7600.0
2017/2/13,7600.0
2017/2/14,7600.0
2017/2/15,7600.0
2017/2/16,7600.0
2017/2/17,7600.0
2017/2/20,7600.0
2017/2/21,7600.0
2017/2/22,7600.0
2017/2/23,7600.0
2017/2/24,7600.0
2017/2/27,7600.0
2017/2/28,7600.0
2017/3/1,7600.0
2017/3/2,7600.0
2017/3/3,7600.0
2017/3/6,7600.0
2017/3/7,7600.0
2017/3/8,7600.0
2017/3/9,7600.0
2017/3/10,7600.0
2017/3/13,7600.0
2017/3/14,7600.0
2017/3/15,7600.0
2017/3/16,7600.0
2017/3/17,7600.0
2017/3/20,7600.0
2017/3/21,7600.0
2017/3/22,7600.0
2017/3/23,7600.0
2017/3/24,7600.0
2017/3/27,7600.0
2017/3/28,7600.0
2017/3/29,7600.0
2017/3/30,7600.0
2017/3/31,7600.0
2017/4/3,7000.0
2017/4/4,7000.0
2017/4/5,7000.0
2017/4/6,7000.0
2017/4/7,7000.0
2017/4/10,7000.0
2017/4/11,7000.0
2017/4/12,7000.0
2017/4/13,7000.0
2017/4/14,7000.0
2017/4/17,7000.0
2017/4/18,7000.0
2017/4/19,7000.0
2017/4/20,7000.0
2017/4/21,7000.0
2017/4/24,7000.0
2017/4/25,7000.0
2017/4/26,7000.0
2017/4/27,7000.0
2017/4/28,7000.0
2017/5/1,7000.0
2017/5/2,6900.0
2017/5/3,6900.0
2017/5/4,6900.0
2017/5/5,6900.0
2017/5/8,6900.0
2017/5/9,6900.0
2017/5/10,6900.0
2017/5/11,6900.0
2017/5/12,6900.0
2017/5/15,6900.0
2017/5/16,6900.0
2017/5/17,6900.0
2017/5/18,6900.0
2017/5/19,6900.0
2017/5/22,6900.0
2017/5/23,6900.0
2017/5/24,6900.0
2017/5/25,6900.0
2017/5/26,6900.0
2017/5/29,6850.0
2017/5/30,6850.0
2017/5/31,6850.0
2017/6/1,6850.0
2017/6/2,6850.0
2017/6/5,6850.0
2017/6/6,6850.0
2017/6/7,6850.0
2017/6/8,6850.0
2017/6/9,6850.0
2017/6/12,6850.0
2017/6/13,6850.0
2017/6/14,6850.0
2017/6/15,6850.0
2017/6/16,6850.0
2017/6/19,6850.0
2017/6/20,6850.0
2017/6/21,6850.0
2017/6/22,6850.0
2017/6/23,6850.0
2017/6/26,6850.0
2017/6/27,6850.0
2017/6/28,6850.0
2017/6/29,6500.0
2017/6/30,6500.0
2017/7/3,6500.0
2017/7/4,6500.0
2017/7/5,6500.0
2017/7/6,6500.0
2017/7/7,6500.0
2017/7/10,6500.0
2017/7/11,6500.0
2017/7/12,6500.0
2017/7/13,6500.0
2017/7/14,6500.0
2017/7/17,6500.0
2017/7/18,6500.0
2017/7/19,6500.0
2017/7/20,6500.0
2017/7/21,6500.0
2017/7/24,6500.0
2017/7/25,6500.0
2017/7/26,6500.0
2017/7/27,6500.0
2017/7/28,6600.0
2017/7/31,6600.0
2017/8/1,6600.0
2017/8/2,6600.0
2017/8/3,6600.0
2017/8/4,6600.0
2017/8/7,6600.0
2017/8/8,6600.0
2017/8/9,6600.0
2017/8/10,6600.0
2017/8/11,6600.0
2017/8/14,6600.0
2017/8/15,6600.0
2017/8/16,6600.0
2017/8/17,6600.0
2017/8/18,6600.0
2017/8/21,6600.0
2017/8/22,6600.0
2017/8/23,6600.0
2017/8/24,6600.0
2017/8/25,6600.0
2017/8/28,6600.0
2017/8/29,6600.0
2017/8/30,6600.0
2017/8/31,6600.0
2017/9/1,6600.0
2017/9/4,6600.0
2017/9/5,6600.0
2017/9/6,6580.0
2017/9/7,6580.0
2017/9/8,6580.0
2017/9/11,6580.0
2017/9/12,6580.0
2017/9/13,6580.0
2017/9/14,6580.0
2017/9/15,6580.0
2017/9/18,6580.0
2017/9/19,6580.0
2017/9/20,6580.0
2017/9/21,6580.0
2017/9/22,6580.0
2017/9/25,6550.0
2017/9/26,6550.0
2017/9/27,6550.0
2017/9/28,6550.0
2017/9/29,6550.0
2017/10/2,6550.0
2017/10/3,6550.0
2017/10/4,6550.0
2017/10/5,6550.0
2017/10/6,6550.0
2017/10/9,6550.0
2017/10/10,6550.0
2017/10/11,6550.0
2017/10/12,6550.0
2017/10/13,6550.0
2017/10/16,6550.0
2017/10/17,6550.0
2017/10/18,6550.0
2017/10/19,6550.0
2017/10/20,6550.0
2017/10/23,6550.0
2017/10/24,6760.0
2017/10/25,6760.0
2017/10/26,6760.0
2017/10/27,6760.0
2017/10/30,6760.0
2017/10/31,6760.0
2017/11/1,6760.0
2017/11/2,6760.0
2017/11/3,6760.0
2017/11/6,6760.0
2017/11/7,6760.0
2017/11/8,6760.0
2017/11/9,6760.0
2017/11/10,6760.0
2017/11/13,6760.0
2017/11/14,6760.0
2017/11/15,6760.0
2017/11/16,6760.0
2017/11/17,6760.0
2017/11/20,6760.0
2017/11/21,6760.0
2017/11/22,6760.0
2017/11/23,6760.0
2017/11/24,7200.0
2017/11/27,7200.0
2017/11/28,7200.0
2017/11/29,7200.0
2017/11/30,7200.0
2017/12/1,7200.0
2017/12/4,7200.0
2017/12/5,7200.0
2017/12/6,7200.0
2017/12/7,7200.0
2017/12/8,7200.0
2017/12/11,7200.0
2017/12/12,7200.0
2017/12/13,7200.0
2017/12/14,7200.0
2017/12/15,7200.0
2017/12/18,7200.0
2017/12/19,7200.0
2017/12/20,7200.0
2017/12/21,7200.0
2017/12/22,7220.0
2017/12/25,7220.0
2017/12/26,7220.0
2017/12/27,7220.0
2017/12/28,7220.0
2017/12/29,7220.0
2018/1/1,7220.0
2018/1/2,7220.0
2018/1/3,7220.0
2018/1/4,7220.0
2018/1/5,7220.0
2018/1/8,7220.0
2018/1/9,7220.0
2018/1/10,7220.0
2018/1/11,7220.0
2018/1/12,7220.0
2018/1/15,7220.0
2018/1/16,7220.0
2018/1/17,7220.0
2018/1/18,7220.0
2018/1/19,7220.0
2018/1/22,7220.0
2018/1/23,7220.0
2018/1/24,7300.0
2018/1/25,7300.0
2018/1/26,7300.0
2018/1/29,7300.0
2018/1/30,7300.0
2018/1/31,7300.0
2018/2/1,7300.0
2018/2/2,7300.0
2018/2/5,7300.0
2018/2/6,7300.0
2018/2/7,7300.0
2018/2/8,7300.0
2018/2/9,7310.0
2018/2/12,7310.0
2018/2/13,7310.0
2018/2/14,7310.0
2018/2/15,7310.0
2018/2/16,7310.0
2018/2/19,7310.0
2018/2/20,7310.0
2018/2/21,7310.0
2018/2/22,7310.0
2018/2/23,7310.0
2018/2/26,7310.0
2018/2/27,7310.0
2018/2/28,7310.0
2018/3/1,7310.0
2018/3/2,7310.0
2018/3/5,7310.0
2018/3/6,7310.0
2018/3/7,7310.0
2018/3/8,7310.0
2018/3/9,7310.0
2018/3/12,7310.0
2018/3/13,7310.0
2018/3/14,7310.0
2018/3/15,7310.0
2018/3/16,7310.0
2018/3/19,7310.0
2018/3/20,7310.0
2018/3/21,7310.0
2018/3/22,7310.0
2018/3/23,7310.0
2018/3/26,7380.0
2018/3/27,7380.0
2018/3/28,7380.0
2018/3/29,7380.0
2018/3/30,7380.0
2018/4/2,7380.0
2018/4/3,7380.0
2018/4/4,7380.0
2018/4/5,7380.0
2018/4/6,7380.0
2018/4/9,7380.0
2018/4/10,7380.0
2018/4/11,7380.0
2018/4/12,7380.0
2018/4/13,7380.0
2018/4/16,7380.0
2018/4/17,7380.0
2018/4/18,7380.0
2018/4/19,7380.0
2018/4/20,7380.0
2018/4/23,7380.0
2018/4/24,7280.0
2018/4/25,7280.0
2018/4/26,7280.0
2018/4/27,7280.0
2018/4/30,7280.0
2018/5/1,7280.0
2018/5/2,7280.0
2018/5/3,7280.0
2018/5/4,7280.0
2018/5/7,7280.0
2018/5/8,7280.0
2018/5/9,7280.0
2018/5/10,7280.0
2018/5/11,7280.0
2018/5/14,7280.0
2018/5/15,7280.0
2018/5/16,7280.0
2018/5/17,7280.0
2018/5/18,7280.0
2018/5/21,7280.0
2018/5/22,7280.0
2018/5/23,7750.0
2018/5/24,7750.0
2018/5/25,7750.0
2018/5/28,7750.0
2018/5/29,7750.0
2018/5/30,7750.0
2018/5/31,7750.0
2018/6/1,7750.0
2018/6/4,7750.0
2018/6/5,7750.0
2018/6/6,7750.0
2018/6/7,7750.0
2018/6/8,7750.0
2018/6/11,7750.0
2018/6/12,7750.0
2018/6/13,7750.0
2018/6/14,7750.0
2018/6/15,7750.0
2018/6/18,7750.0
2018/6/19,7750.0
2018/6/20,7750.0
2018/6/21,7750.0
2018/6/22,7460.0
2018/6/25,7460.0
2018/6/26,7460.0
2018/6/27,7460.0
2018/6/28,7460.0
2018/6/29,7460.0
2018/7/2,7460.0
2018/7/3,7460.0
2018/7/4,7460.0
2018/7/5,7460.0
2018/7/6,7460.0
2018/7/9,7460.0
2018/7/10,7460.0
2018/7/11,7460.0
2018/7/12,7460.0
2018/7/13,7460.0
2018/7/16,7460.0
2018/7/17,7460.0
2018/7/18,7460.0
2018/7/19,7460.0
2018/7/20,7460.0
2018/7/23,7460.0
2018/7/24,8140.0
2018/7/25,8140.0
2018/7/26,8140.0
2018/7/27,8140.0
2018/7/30,8140.0
2018/7/31,8140.0
2018/8/1,8140.0
2018/8/2,8140.0
2018/8/3,8140.0
2018/8/6,8140.0
2018/8/7,8140.0
2018/8/8,8140.0
2018/8/9,8140.0
2018/8/10,8140.0
2018/8/13,8140.0
2018/8/14,8140.0
2018/8/15,8140.0
2018/8/16,8140.0
2018/8/17,8140.0
2018/8/20,8140.0
2018/8/21,8140.0
2018/8/22,8140.0
2018/8/23,8140.0
2018/8/24,8140.0
2018/8/27,8140.0
2018/8/28,8140.0
2018/8/29,8140.0
2018/8/30,8140.0
2018/8/31,8140.0
2018/9/3,8140.0
2018/9/4,8140.0
2018/9/5,8140.0
2018/9/6,8140.0
2018/9/7,8140.0
2018/9/10,8140.0
2018/9/11,9230.0
2018/9/12,9230.0
2018/9/13,9230.0
2018/9/14,9230.0
2018/9/17,9230.0
2018/9/18,9230.0
2018/9/19,9230.0
2018/9/20,9230.0
2018/9/21,9230.0
2018/9/24,9230.0
2018/9/25,10950.0
2018/9/26,10950.0
2018/9/27,10950.0
2018/9/28,10950.0
2018/10/1,10950.0
2018/10/2,10950.0
2018/10/3,10950.0
2018/10/4,10950.0
2018/10/5,10950.0
2018/10/8,10950.0
2018/10/9,10950.0
2018/10/10,10950.0
2018/10/11,10950.0
2018/10/12,10950.0
2018/10/15,10950.0
2018/10/16,10950.0
2018/10/17,10950.0
2018/10/18,10950.0
2018/10/19,10950.0
2018/10/22,10950.0
2018/10/23,10950.0
2018/10/24,10950.0
2018/10/25,10750.0
2018/10/26,10750.0
2018/10/29,10750.0
2018/10/30,10750.0
2018/10/31,10750.0
2018/11/1,10750.0
2018/11/2,10750.0
2018/11/5,10750.0
2018/11/6,10750.0
2018/11/7,10750.0
2018/11/8,10750.0
2018/11/9,10750.0
2018/11/12,10750.0
2018/11/13,10750.0
2018/11/14,10750.0
2018/11/15,10750.0
2018/11/16,10750.0
2018/11/19,10750.0
2018/11/20,10750.0
2018/11/21,10750.0
2018/11/22,10750.0
2018/11/23,9200.0
2018/11/26,9200.0
2018/11/27,9200.0
2018/11/28,9200.0
2018/11/29,9200.0
2018/11/30,9200.0
2018/12/3,9200.0
2018/12/4,9200.0
2018/12/5,9200.0
2018/12/6,9200.0
2018/12/7,9200.0
2018/12/10,9200.0
2018/12/11,9200.0
2018/12/12,9200.0
2018/12/13,9200.0
2018/12/14,9200.0
2018/12/17,9200.0
2018/12/18,9200.0
2018/12/19,9200.0
2018/12/20,9200.0
2018/12/21,9200.0
2018/12/24,8520.0
2018/12/25,8520.0
2018/12/26,8520.0
2018/12/27,8520.0
2018/12/28,8520.0
2018/12/29,8520.0
2019/1/2,8520.0
2019/1/3,8520.0
2019/1/4,8520.0
2019/1/7,8520.0
2019/1/8,8520.0
2019/1/9,8520.0
2019/1/10,8520.0
2019/1/11,8520.0
2019/1/14,8520.0
2019/1/15,8520.0
2019/1/16,8520.0
2019/1/17,8520.0
2019/1/18,8520.0
2019/1/21,8520.0
2019/1/22,8520.0
2019/1/23,8580.0
2019/1/24,8580.0
2019/1/25,8580.0
2019/1/28,8580.0
2019/1/29,8580.0
2019/1/30,8580.0
2019/1/31,8580.0
2019/2/1,8580.0
2019/2/2,8580.0
2019/2/3,8580.0
2019/2/8,8580.0
2019/2/11,8580.0
2019/2/12,8580.0
2019/2/13,8580.0
2019/2/14,8580.0
2019/2/15,8580.0
2019/2/18,8580.0
2019/2/19,8580.0
2019/2/20,8580.0
2019/2/21,8580.0
2019/2/22,8730.0
2019/2/25,8730.0
2019/2/26,8730.0
2019/2/27,8730.0
2019/2/28,8730.0
2019/3/1,8730.0
2019/3/4,8730.0
2019/3/5,8730.0
2019/3/6,8730.0
2019/3/7,8730.0
2019/3/8,8730.0
2019/3/11,8730.0
2019/3/12,8730.0
2019/3/13,8730.0
2019/3/14,8730.0
2019/3/15,8730.0
2019/3/18,8730.0
2019/3/19,8730.0
2019/3/20,8730.0
2019/3/21,8730.0
2019/3/22,8730.0
2019/3/25,8720.0
2019/3/26,8720.0
2019/3/27,8720.0
2019/3/28,8720.0
2019/3/29,8720.0
2019/4/1,8720.0
2019/4/2,8720.0
2019/4/3,8720.0
2019/4/4,8720.0
2019/4/8,8720.0
2019/4/9,8720.0
2019/4/10,8720.0
2019/4/11,8720.0
2019/4/12,8720.0
2019/4/15,8720.0
2019/4/16,8720.0
2019/4/17,8720.0
2019/4/18,8720.0
2019/4/19,8720.0
2019/4/22,8720.0
2019/4/23,7950.0
2019/4/24,7950.0
2019/4/25,7950.0
2019/4/26,7950.0
2019/4/29,7950.0
2019/4/30,7950.0
2019/5/1,7950.0
2019/5/2,7950.0
2019/5/3,7950.0
2019/5/6,7950.0
2019/5/7,7950.0
2019/5/8,7950.0
2019/5/9,7950.0
2019/5/10,7950.0
2019/5/13,7950.0
2019/5/14,7950.0
2019/5/15,7950.0
2019/5/16,7950.0
2019/5/17,7950.0
2019/5/20,7950.0
2019/5/21,7950.0
2019/5/22,7950.0
2019/5/23,7950.0
2019/5/24,7950.0
2019/5/27,7080.0
2019/5/28,7080.0
2019/5/29,7080.0
2019/5/30,7080.0
2019/5/31,7080.0
2019/6/3,7080.0
2019/6/4,7080.0
2019/6/5,7080.0
2019/6/6,7080.0
2019/6/7,7080.0
2019/6/10,7080.0
2019/6/11,7080.0
2019/6/12,7080.0
2019/6/13,7080.0
2019/6/14,7080.0
2019/6/17,7080.0
2019/6/18,7080.0
2019/6/19,7080.0
2019/6/20,7080.0
2019/6/21,7080.0
2019/6/24,7080.0
2019/6/25,6780.0
2019/6/26,6780.0
2019/6/27,6780.0
2019/6/28,6780.0
2019/7/1,6780.0
2019/7/2,6780.0
2019/7/3,6780.0
2019/7/4,6780.0
2019/7/5,6780.0
2019/7/8,6780.0
2019/7/9,6780.0
2019/7/10,6780.0
2019/7/11,6780.0
2019/7/12,6780.0
2019/7/15,6780.0
2019/7/16,6780.0
2019/7/17,6780.0
2019/7/18,6780.0
2019/7/19,6780.0
2019/7/22,6780.0
2019/7/23,6780.0
2019/7/24,6935.0
2019/7/25,6935.0
2019/7/26,6935.0
2019/7/29,6935.0
2019/7/30,6935.0
2019/7/31,6935.0
2019/8/1,6935.0
2019/8/2,6935.0
2019/8/5,6935.0
2019/8/6,6935.0
2019/8/7,6935.0
2019/8/8,6935.0
2019/8/9,6935.0
2019/8/12,6935.0
2019/8/13,6935.0
2019/8/14,6935.0
2019/8/15,6935.0
2019/8/16,6935.0
2019/8/19,6935.0
2019/8/20,6935.0
2019/8/21,6935.0
2019/8/22,6610.0
2019/8/23,6610.0
2019/8/26,6610.0
2019/8/27,6610.0
2019/8/28,6610.0
2019/8/29,6610.0
2019/8/30,6610.0
2019/9/2,6610.0
2019/9/3,6610.0
2019/9/4,6610.0
2019/9/5,6610.0
2019/9/6,6610.0
2019/9/9,6610.0
2019/9/10,6610.0
2019/9/11,6610.0
2019/9/12,6610.0
2019/9/16,6610.0
2019/9/17,6610.0
2019/9/18,6610.0
2019/9/19,6610.0
2019/9/20,6610.0
2019/9/23,6610.0
2019/9/24,6620.0
2019/9/25,6620.0
2019/9/26,6620.0
2019/9/27,6620.0
2019/9/30,6620.0
2019/10/8,6620.0
2019/10/9,6620.0
2019/10/10,6620.0
2019/10/11,6620.0
2019/10/14,6620.0
2019/10/15,6620.0
2019/10/16,6620.0
2019/10/17,6620.0
2019/10/18,6620.0
2019/10/21,6620.0
2019/10/22,6620.0
2019/10/23,6620.0
2019/10/24,6620.0
2019/10/25,6620.0
2019/10/28,6620.0
2019/10/29,6620.0
2019/10/30,6620.0
2019/10/31,6620.0
2019/11/1,6620.0
